Id,SalePrice
1461,122175.87353578597
1462,162655.7805129626
1463,182952.9929496503
1464,186920.25159043822
1465,195971.5232538771
1466,179497.13215441024
1467,172709.02694723234
1468,169002.40136242015
1469,180368.5936163329
1470,125972.66486003059
1471,199244.9613724927
1472,94215.78384388238
1473,96272.74396489318
1474,148611.7153277801
1475,118975.35340449617
1476,368387.047843087
1477,259554.18120672015
1478,287444.398232733
1479,279164.39764955564
1480,506921.48514803033
1481,314523.68947892304
1482,205294.46194858715
1483,181899.82813327498
1484,164643.41482756723
1485,179107.58446196775
1486,192960.98429738256
1487,318877.12186453305
1488,228172.18420466763
1489,205179.5826650539
1490,223027.35579518502
1491,192668.8500813466
1492,94339.7735955746
1493,175726.13903750948
1494,288657.6274642841
1495,292571.6013016058
1496,231543.47548827162
1497,182399.06318028385
1498,169897.6650187797
1499,157708.03222277516
1500,156810.63093374262
1501,175058.7145054363
1502,156776.34933542658
1503,286929.35835701425
1504,235659.19275303345
1505,226021.50659974205
1506,182617.47477581244
1507,258374.2748702941
1508,199243.8453398106
1509,159839.07737389716
1510,146873.0423077302
1511,157079.84113625388
1512,172744.69497920343
1513,144767.50747938378
1514,156918.0093670502
1515,201510.4562499987
1516,152679.2320611435
1517,156189.64874637613
1518,132981.30404963612
1519,224809.52005367063
1520,137047.3025959134
1521,137844.5291052115
1522,167980.21149005584
1523,115548.62283265451
1524,120075.16013311621
1525,122299.7065391701
1526,118025.42770638721
1527,103525.01189656006
1528,133980.7224293022
1529,151375.5580356793
1530,172728.27065947253
1531,117581.37486768552
1532,96765.88463135823
1533,145231.4438469214
1534,120923.13700504854
1535,147135.1089363528
1536,111125.77624158336
1537,68009.23983027358
1538,148663.29853633553
1539,191142.84574857587
1540,95215.65091316302
1541,140413.32401984688
1542,143338.05428085738
1543,184424.70563861396
1544,87466.5673095625
1545,105589.42521916344
1546,131039.64570179688
1547,135554.05211204407
1548,134614.09886601937
1549,114078.90231074566
1550,139242.616805884
1551,111837.81122662826
1552,137980.9177115269
1553,133374.0193847714
1554,115713.50000045235
1555,170867.2088537848
1556,86680.80972686442
1557,105900.13308877993
1558,98692.70079038954
1559,75302.69620547666
1560,135639.83527626758
1561,128025.79915370897
1562,132654.7030170473
1563,122638.71225913578
1564,163523.74402920072
1565,147621.5537825775
1566,238327.31321135405
1567,82123.77780998976
1568,236530.793437497
1569,143313.27924745672
